#Vazao01	Vazao02	Vazao03	Vazao04	Vazao05	Vazao06	Vazao07	Vazao08	Vazao09	Vazao10	Vazao11	Vazao12	Vazao13	Vazao14	Vazao15	Vazao16	Vazao17	Vazao18	Vazao19	Vazao20	Vazao21	Vazao22	Vazao23	Vazao24	Vazao25	Vazao26	Vazao27	Vazao28	Vazao29	Vazao30	Vazao31	#dias	mes	Ano
5.756	8.473	83.967	77.397	67.806	5.855	55.544	52.578	49.655	4.821	46.776	43.941	43.941	41.152	41.152	39.775	39.775	3.841	3.841	3.841	41.152	41.152	41.152	39.775	45.352	55.544	61.597	67.806	77.397	87.303	0	31	9	2008
7.322	71.611	70.012	68.422	66.841	66.841	66.841	63.708	63.708	63.708	63.708	60.614	60.614	59.082	5.756	56.048	54.547	54.547	53.056	51.576	51.576	50.106	50.106	51.576	51.576	51.576	51.576	48.648	48.648	48.648	48.648	31	8	2008
125.343	121.654	117.994	117.994	114.363	110.761	110.761	107.189	107.189	103.647	101.888	100.136	96.656	96.656	93.208	93.208	91.496	93.208	93.208	89.792	86.409	86.409	8.306	8.306	79.745	79.745	7.81	76.465	76.465	7.322	7.322	31	7	2008
301.849	294.915	283.451	269.849	25.42	24.317	232.266	223.637	21.722	208.739	204.531	200.345	192.041	187.923	183.827	177.728	173.691	171.682	169.679	16.569	159.753	155.826	151.924	148.047	146.119	142.281	136.574	132.803	129.059	127.197	0	31	6	2008
546.019	543.322	54.063	548.718	602.212	595.912	686.875	720.801	734.582	727.676	864.006	920.779	867.739	727.676	65.043	571.021	511.236	474.445	443.479	420.611	393.087	368.487	349.103	339.512	344.299	339.512	344.299	353.924	353.924	344.299	325.256	31	5	2008
366.049	805.289	776.647	717.374	755.479	577.198	564.988	559.551	548.718	511.236	425.666	358.761	337.126	320.539	464.064	398.056	320.539	361.186	413.057	443.479	433.277	398.056	398.056	383.198	353.924	337.126	292.613	269.849	358.761	0	0	31	2	2008
88.097	89.792	100.136	108.971	100.136	89.792	8.306	8.306	8.306	130.927	196.182	181.789	167.681	151.924	144.197	134.685	125.343	125.343	161.726	221.492	227.941	196.182	21.722	225.786	230.101	196.182	187.923	221.492	198.261	175.707	274.364	31	1	2008
142.281	136.574	114.363	103.647	93.208	8.306	7.81	74.838	93.208	148.047	132.803	108.971	93.208	81.398	7.322	70.012	6.527	63.708	7.322	114.363	112.558	125.343	103.647	123.495	121.654	121.654	114.363	103.647	96.656	94.928	91.496	31	12	2007
76.465	86.409	7.81	71.611	66.841	63.708	62.156	6.527	6.527	63.708	70.012	66.841	63.708	63.708	59.082	56.048	53.056	50.106	48.648	63.708	66.841	6.527	60.614	5.756	63.708	7.81	101.888	112.558	148.047	151.924	0	31	11	2007
40.136	40.136	40.136	40.136	60.614	63.708	66.841	66.841	63.708	60.614	5.756	54.547	5.756	71.611	7.322	7.322	76.465	76.465	68.422	60.614	5.756	59.082	110.761	112.558	117.994	121.654	103.647	8.473	79.745	70.012	7.322	31	10	2007
47.201	45.764	42.927	41.526	40.136	40.136	40.136	38.759	38.759	40.136	40.136	38.759	37.395	37.395	37.395	37.395	37.395	38.759	40.136	40.136	40.136	40.136	42.927	42.927	42.927	45.764	45.764	45.764	42.927	41.526	0	31	9	2007
7.322	71.611	66.841	6.527	63.708	63.708	60.614	5.756	5.756	54.547	54.547	53.056	51.576	51.576	48.648	48.648	48.648	48.648	48.648	48.648	47.201	48.648	48.648	48.648	48.648	47.201	45.764	45.764	45.764	47.201	47.201	31	8	2007
117.994	110.761	110.761	107.189	107.189	105.414	103.647	100.136	96.656	96.656	93.208	89.792	89.792	89.792	89.792	86.409	86.409	86.409	86.409	8.473	8.306	8.306	8.306	81.398	79.745	7.81	76.465	74.838	7.322	7.322	7.322	31	7	2007
267.599	276.629	260.877	251.984	238.793	230.101	234.437	238.793	227.941	215.091	202.436	192.041	181.789	177.728	169.679	163.705	159.753	155.826	151.924	148.047	144.197	136.574	132.803	132.803	129.059	125.343	121.654	117.994	117.994	121.654	0	31	6	2007
621.293	630.937	627.715	65.043	68.018	634.167	589.644	543.322	500.653	461.478	423.136	393.087	366.049	344.299	327.621	308.824	301.849	297.222	294.915	283.451	274.364	265.353	258.646	247.567	238.793	230.101	227.941	223.637	234.437	265.353	265.353	31	5	2007
663.576	727.676	69.36	630.937	543.322	521.876	492.753	469.247	446.039	423.136	413.057	440.923	567.711	70.714	93.62	987.131	971.327	894.078	827.085	77.31	794.492	762.505	758.989	769.561	70.714	627.715	564.988	521.876	47.705	443.479	408.041	31	3	2007
297.222	297.222	285.734	260.877	236.612	221.492	208.739	212.969	225.786	210.851	200.345	196.182	196.182	206.632	272.104	329.991	251.984	221.492	221.492	212.969	189.979	171.682	163.705	171.682	202.436	212.969	206.632	192.041	24.317	278.898	290.316	31	1	2007
140.372	148.047	196.182	208.739	208.739	171.682	151.924	132.803	125.343	134.685	25.642	368.487	464.064	400.546	339.512	339.512	346.699	341.904	353.924	329.991	306.495	276.629	260.877	260.877	247.567	204.531	192.041	177.728	171.682	167.681	215.091	31	12	2006
269.849	230.101	215.091	202.436	196.182	169.679	142.281	132.803	125.343	132.803	212.969	274.364	30.417	306.495	274.364	301.849	278.898	230.101	202.436	187.923	171.682	153.871	140.372	136.574	157.786	155.826	146.119	140.372	136.574	132.803	0	31	11	2006
130.927	125.343	123.495	108.971	89.792	88.097	86.409	91.496	96.656	96.656	101.888	114.363	110.761	110.761	129.059	129.059	129.059	129.059	129.059	140.372	175.707	151.924	144.197	121.654	112.558	100.136	91.496	89.792	103.647	117.994	251.984	31	10	2006
86.409	93.208	89.792	86.409	8.306	79.745	8.473	93.208	86.409	81.398	76.465	70.012	66.841	66.841	6.527	63.708	6.527	63.708	60.614	60.614	66.841	7.81	86.409	91.496	96.656	91.496	88.097	108.971	148.047	140.372	0	31	9	2006
107.189	108.971	108.971	107.189	107.189	103.647	100.136	93.208	93.208	93.208	89.792	86.409	86.409	86.409	8.473	8.306	79.745	7.81	79.745	76.465	76.465	7.81	81.398	88.097	89.792	89.792	8.306	79.745	76.465	7.322	7.322	31	8	2006
175.707	167.681	16.569	163.705	159.753	157.786	155.826	153.871	151.924	148.047	148.047	144.197	136.574	134.685	132.803	129.059	125.343	125.343	121.654	121.654	117.994	117.994	114.363	114.363	110.761	107.189	107.189	107.189	107.189	107.189	103.647	31	7	2006
385.664	373.374	358.761	344.299	339.512	329.991	31.584	306.495	297.222	290.316	283.451	274.364	267.599	260.877	249.773	245.366	238.793	234.437	225.786	219.353	215.091	208.739	204.531	198.261	192.041	192.041	187.923	185.872	183.827	179.755	0	31	6	2006
630.937	794.492	77.31	653.705	611.718	571.021	505.938	469.247	443.479	413.057	408.041	408.041	438.371	513.891	548.718	621.293	614.902	559.551	580.298	413.057	448.603	471.844	559.551	727.676	673.516	618.094	564.988	54.063	783.763	798.084	787.332	31	3	2006
